time,soc
"2025-10-11T09:36:02.372+0000",       13.250000000000000
"2025-10-11T09:36:30.885+0000",       13.250000000000000
"2025-10-11T09:37:00.867+0000",       13.250000000000000
"2025-10-11T09:37:30.869+0000",       13.250000000000000
"2025-10-11T09:38:01.168+0000",       13.250000000000000
"2025-10-11T09:38:30.932+0000",       13.250000000000000
"2025-10-11T09:39:00.953+0000",       13.250000000000000
"2025-10-11T09:39:30.877+0000",       13.250000000000000
"2025-10-11T09:40:00.870+0000",       13.250000000000000
"2025-10-11T09:40:31.315+0000",       13.250000000000000
"2025-10-11T09:41:01.101+0000",       13.250000000000000
"2025-10-11T09:41:32.915+0000",       13.250000000000000
"2025-10-11T09:42:00.916+0000",       13.250000000000000
"2025-10-11T09:42:30.936+0000",       13.250000000000000
"2025-10-11T13:38:49.547+0000",       14.000000000000000
"2025-10-11T13:38:49.785+0000",       13.250000000000000
"2025-10-11T13:38:49.985+0000",       13.250000000000000
"2025-10-11T13:38:50.201+0000",       13.250000000000000
"2025-10-11T13:38:50.397+0000",       13.250000000000000
"2025-10-11T13:38:50.586+0000",       13.250000000000000
"2025-10-11T13:38:50.782+0000",       13.250000000000000
"2025-10-11T13:38:50.972+0000",       13.250000000000000
"2025-10-11T13:39:03.841+0000",       14.000000000000000
"2025-10-11T13:39:33.841+0000",       14.000000000000000
"2025-10-11T13:40:03.841+0000",       14.000000000000000
"2025-10-11T13:40:33.844+0000",       14.000000000000000
"2025-10-11T13:41:03.845+0000",       14.000000000000000
"2025-10-11T13:41:33.845+0000",       14.000000000000000
"2025-10-11T13:42:03.584+0000",       14.000000000000000
"2025-10-11T13:42:33.635+0000",       14.000000000000000
"2025-10-11T13:43:03.292+0000",       14.000000000000000
"2025-10-11T13:43:33.351+0000",       14.000000000000000
"2025-10-11T13:45:19.539+0000",       14.299999237060547
"2025-10-11T13:45:19.579+0000",       14.299999237060547
"2025-10-11T13:45:33.444+0000",       14.500000000000000
"2025-10-11T13:46:03.633+0000",       14.700000762939453
"2025-10-11T13:46:33.442+0000",       14.899999618530273
"2025-10-11T13:47:03.443+0000",       15.049999237060547
"2025-10-11T13:47:33.917+0000",       15.250000000000000
"2025-10-11T13:48:03.531+0000",       15.500000000000000
"2025-10-11T13:48:33.449+0000",       15.700000762939453
"2025-10-11T13:49:03.453+0000",       15.799999237060547
"2025-10-11T13:49:33.449+0000",       16.000000000000000
"2025-10-11T13:50:03.457+0000",       16.200000762939453
"2025-10-11T13:50:33.450+0000",       16.399999618530273
"2025-10-11T13:51:03.849+0000",       16.549999237060547
"2025-10-11T13:51:33.453+0000",       16.600000381469727
"2025-10-11T13:52:03.451+0000",       16.600000381469727
"2025-10-11T13:52:33.581+0000",       16.600000381469727
"2025-10-11T13:53:03.453+0000",       16.600000381469727
"2025-10-11T13:53:33.456+0000",       16.600000381469727
"2025-10-11T13:54:03.453+0000",       16.600000381469727
"2025-10-11T13:54:33.458+0000",       16.600000381469727
"2025-10-11T13:56:16.035+0000",       16.600000381469727
"2025-10-11T13:56:16.074+0000",       16.600000381469727
"2025-10-11T13:56:30.710+0000",       16.600000381469727
"2025-10-11T13:57:00.532+0000",       16.600000381469727
"2025-10-11T13:57:30.535+0000",       16.600000381469727
"2025-10-11T13:58:00.544+0000",       16.600000381469727
"2025-10-11T13:58:30.535+0000",       16.600000381469727
"2025-10-11T13:59:00.943+0000",       16.600000381469727
"2025-10-11T13:59:30.537+0000",       16.600000381469727
"2025-10-11T14:00:02.138+0000",       16.600000381469727
"2025-10-11T14:00:30.539+0000",       16.600000381469727
"2025-10-11T14:01:00.652+0000",       16.600000381469727
"2025-10-11T14:01:30.541+0000",       16.600000381469727
"2025-10-11T14:02:00.541+0000",       16.600000381469727
"2025-10-11T14:02:30.922+0000",       16.600000381469727
"2025-10-11T14:03:00.542+0000",       16.600000381469727
"2025-10-11T14:03:30.869+0000",       16.600000381469727
"2025-10-11T14:04:00.546+0000",       16.600000381469727
"2025-10-11T14:04:30.633+0000",       16.600000381469727
"2025-10-11T14:05:01.261+0000",       16.600000381469727
"2025-10-11T14:05:30.549+0000",       16.600000381469727
"2025-10-14T16:02:17.125+0000",       45.099998474121101
"2025-10-14T16:02:30.959+0000",       45.250000000000000
"2025-10-14T16:03:00.959+0000",       45.400001525878899
"2025-10-14T16:03:30.960+0000",       45.550003051757812
"2025-10-14T16:04:00.963+0000",       45.699996948242188
"2025-10-14T16:04:30.966+0000",       45.900001525878899
"2025-10-14T16:05:00.966+0000",       46.050003051757812
"2025-10-14T16:05:30.963+0000",       46.250000000000000
"2025-10-14T16:06:00.965+0000",       46.400001525878899
"2025-10-14T16:06:30.964+0000",       46.550003051757812
"2025-10-14T16:07:00.966+0000",       46.750000000000000
"2025-10-14T16:07:30.966+0000",       46.900001525878899
"2025-10-14T16:08:00.967+0000",       47.099998474121101
"2025-10-14T16:08:30.971+0000",       47.250000000000000
"2025-10-14T16:09:00.967+0000",       47.400001525878899
"2025-10-14T16:09:31.174+0000",       47.550003051757812
"2025-10-14T16:10:00.966+0000",       47.699996948242188
"2025-10-14T16:10:30.967+0000",       47.900001525878899
"2025-10-14T16:11:00.964+0000",       48.000000000000000
"2025-10-14T16:11:30.961+0000",       48.199996948242188
"2025-10-14T16:12:00.961+0000",       48.349998474121101
"2025-10-14T16:12:30.958+0000",       48.500000000000000
"2025-10-14T16:13:00.956+0000",       48.650001525878899
